===== MC Rollout Parameter Sweep (N=50 per config, vs v32) =====

Config                         | Wins |   Win% | AvgT
------------------------------ | ---- | ------ | ----
mc-off w=0 s=0.10 g=0.1        |   20 |  40.0% |  420
w10-s10 w=10 s=0.10 g=0.1      |   25 |  50.0% |  352
w15-s10 w=15 s=0.10 g=0.1      |   22 |  44.0% |  415
w20-s10 w=20 s=0.10 g=0.1      |   22 |  44.0% |  424
w25-s10 w=25 s=0.10 g=0.1      |   19 |  38.0% |  388
w30-s10 w=30 s=0.10 g=0.1      |   19 |  38.0% |  384
w15-s05 w=15 s=0.05 g=0.1      |   25 |  50.0% |  420
w15-s15 w=15 s=0.15 g=0.1      |   23 |  46.0% |  379
w15-s20 w=15 s=0.20 g=0.1      |   23 |  46.0% |  428
w20-s05 w=20 s=0.05 g=0.1      |   28 |  56.0% |  419
w20-s15 w=20 s=0.15 g=0.1      |   24 |  48.0% |  404
w15-gate02 w=15 s=0.10 g=0.2   |   23 |  46.0% |  368
w15-gate03 w=15 s=0.10 g=0.3   |   16 |  32.0% |  383
w15-turns50 w=15 s=0.10 g=0.1  |   20 |  40.0% |  396
w15-turns200 w=15 s=0.10 g=0.1 |   21 |  42.0% |  401

===== Sweep Complete =====
